program_class,generation_time_sec,run,seed,evosuite_tests,randoop_tests,evosuite_to_randoop_jaccard,randoop_to_evosuite_jaccard,mean_max_jaccard,evosuite_to_randoop_dice,randoop_to_evosuite_dice,mean_max_dice
LruCache,60,8,808,7,164,0.8426870748299319,0.9179732868757259,0.8803301808528289,0.9070643642072215,0.9524987207914037,0.9297815424993126
LruCache,60,9,909,9,265,0.8809523809523809,0.8836927223719677,0.8823225516621743,0.9312169312169313,0.9341903379639229,0.9327036345904272
LruCache,60,10,10010,8,516,0.9704861111111112,0.8372377568598499,0.9038619339854805,0.9843137254901961,0.9100836843654901,0.9471987049278432
LruCache,120,1,101,9,992,1.0,0.8623419898873529,0.9311709949436764,1.0,0.924369853212358,0.962184926606179
LruCache,120,2,202,10,1285,0.9857142857142858,0.8605046013217219,0.9231094435180038,0.9923076923076923,0.9232628646499098,0.957785278478801
LruCache,120,3,303,8,333,0.8705357142857143,0.9158444158444157,0.893190065065065,0.9255952380952381,0.9526149526149525,0.9391050953550953
LruCache,120,4,404,8,2259,1.0,0.8259863544060091,0.9129931772030045,1.0,0.9036675147135267,0.9518337573567633
LruCache,120,5,505,9,1444,0.9559082892416225,0.8309089609989888,0.8934086251203057,0.9763700351935647,0.9063592744951715,0.9413646548443682
LruCache,120,6,606,9,1893,1.0,0.8520943911989872,0.9260471955994936,1.0,0.9184522419909761,0.959226120995488
LruCache,120,7,707,7,1809,1.0,0.8462866443795134,0.9231433221897567,1.0,0.9150372478047827,0.9575186239023914
LruCache,120,8,808,7,349,0.8809523809523808,0.923454768726975,0.902203574839678,0.930612244897959,0.9569599454986274,0.9437860951982933
LruCache,120,9,909,9,564,0.8809523809523809,0.8779128672745693,0.8794326241134751,0.9312169312169313,0.9317402455700327,0.931478588393482
LruCache,120,10,10010,8,1157,0.9704861111111112,0.8358837167825931,0.9031849139468522,0.9843137254901961,0.9092863119504027,0.9468000187202994
PricingEngine,30,1,101,24,162,0.42936639139200805,0.41444311695207753,0.42190475417204276,0.4874880164514696,0.4221175978238125,0.45480280713764104
PricingEngine,30,2,202,23,422,0.5449553252803846,0.1604779904484483,0.3527166578644164,0.5852480980542607,0.1627181180410449,0.3739831080476528
PricingEngine,30,3,303,24,346,0.5574127032692106,0.1340101773627785,0.34571144031599454,0.5872797270677793,0.13716763005780347,0.36222367856279136
PricingEngine,30,4,404,25,524,0.4512652490733038,0.21024955368135928,0.33075740137733156,0.5078735884919929,0.21833184422383614,0.3631027163579145
PricingEngine,30,5,505,24,425,0.5604056881862661,0.1543513349014396,0.35737851154385286,0.5861345583428327,0.16019279271828699,0.37316367553055985
PricingEngine,30,6,606,22,368,0.5693711047320673,0.16538650317698292,0.3673788039545251,0.61068538043572,0.16948431279912107,0.3900848466174205
PricingEngine,30,7,707,22,318,0.5084691452338511,0.16605535295879356,0.33726224909632235,0.5548887206041466,0.16938737858730138,0.362138049595724
PricingEngine,30,8,808,22,349,0.4324662061794415,0.38288733115022516,0.4076767686648333,0.48512147202774164,0.3834123325838786,0.4342669023058101
PricingEngine,30,9,909,23,367,0.47619520469584414,0.14738191220458075,0.31178855845021247,0.5255862308873345,0.14986056493886243,0.33772339791309847
PricingEngine,30,10,10010,23,547,0.5425083315394801,0.14684484017523167,0.3446765858573559,0.570280980356063,0.1533557449599364,0.3618183626579997
PricingEngine,60,1,101,24,369,0.4511643574127216,0.4655461610781207,0.45835525924542114,0.5001757592640307,0.4746900644631827,0.4874329118636067
PricingEngine,60,2,202,23,402,0.5436775216688213,0.16565935045713573,0.35466843606297854,0.584702245967227,0.16815612470500446,0.3764291853361157
PricingEngine,60,3,303,24,378,0.5669788145476001,0.1378702937842723,0.3524245541659362,0.5930192233952879,0.14107895009855795,0.36704908674692294
PricingEngine,60,4,404,24,1122,0.43059751189495027,0.2522313385275909,0.3414144252112706,0.4884824148956997,0.26164817793433653,0.3750652964150181
PricingEngine,60,5,505,24,1039,0.5603605943911724,0.15972340644346494,0.36004200041731865,0.586109326273888,0.16836036168805568,0.37723484398097185
PricingEngine,60,6,606,22,689,0.5839794044339498,0.15243168524245104,0.36820554483820045,0.6188102752711888,0.15661153349445395,0.3877109043828214
PricingEngine,60,7,707,23,648,0.47278041651443187,0.14969395165473595,0.3112371840845839,0.507876879266831,0.15268769869540524,0.3302822889811181
